                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1918,                 4.5495,                 4.2504,                0.00159,                 0.2889,                 0.0025,                0.00059,                 3.1356,                 4.8524,                 4.1361,             0.00032381,             0.00032381,             0.00032381
                      2,                  3.043,                 4.3304,                 4.0212,                0.00158,                0.21378,                 0.0028,                0.00058,                 3.2183,                 4.7586,                 4.1702,             0.00065064,             0.00065064,             0.00065064
                      3,                  2.903,                 4.0261,                 3.6848,                 0.0034,                 0.6217,                0.01622,                0.00772,                 2.6995,                 5.0499,                 3.4424,             0.00097086,             0.00097086,             0.00097086
                      4,                  2.772,                 3.9078,                 3.4014,                0.18735,                0.13176,                0.01561,                0.00608,                 2.6002,                 7.4151,                 3.3231,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.7173,                 3.7538,                 3.2352,                0.51329,                0.03993,                0.01223,                0.00357,                 2.7076,                 6.1263,                 3.3361,              0.0009703,              0.0009703,              0.0009703
                      6,                 2.6022,                 3.6334,                 3.1474,                0.62945,                0.04388,                 0.0408,                0.01369,                 2.3591,                 10.605,                 3.1095,              0.0009604,              0.0009604,              0.0009604
                      7,                 2.3909,                 3.4417,                 2.9623,                 0.1318,                0.17891,                0.10078,                0.03729,                 2.1484,                 3.7953,                 2.8923,              0.0009505,              0.0009505,              0.0009505
                      8,                 2.2419,                 3.3089,                 2.8176,                0.25844,                0.08649,                0.09046,                0.04015,                   2.08,                 4.0448,                 2.6949,              0.0009406,              0.0009406,              0.0009406
                      9,                 2.1312,                 3.1833,                 2.7025,                0.10463,                0.17009,                0.08964,                0.03927,                 2.0396,                 4.3009,                 2.7397,              0.0009307,              0.0009307,              0.0009307
                     10,                  1.971,                 3.0704,                 2.5727,                0.43251,                0.16619,                0.21173,                0.11875,                 1.9073,                 3.3229,                  2.591,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.8433,                 2.8819,                 2.4662,                0.25382,                0.52664,                0.31516,                0.17719,                 1.5501,                 3.6147,                  2.124,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.7335,                 2.7365,                 2.3575,                0.20799,                0.35849,                0.24347,                0.12123,                 1.7539,                 3.5989,                  2.319,               0.000901,               0.000901,               0.000901
                     13,                 1.6726,                 2.6074,                   2.28,                0.25139,                0.40214,                0.32227,                0.20833,                 1.3189,                 2.5685,                 1.9189,              0.0008911,              0.0008911,              0.0008911
